Restaurant ID,Location,Restaurant Name,Postal Code,Restaurant Address,Lat,Lng
28,Toronto Distillery District,Big Pita,M5E 1C4,"115 Front Street East, Old Toronto, ON M5E 1C4, Canada",43.64943850054069,-79.37067999999998
29,Toronto Distillery District,IRENE Restaurant,M5A 3Y5,"Dockside Drive, Old Toronto, ON M5A 3Y5, Canada",43.64340280054076,-79.3660686
30,Toronto Distillery District,The Corner Place,M5A 4S5,"100 Front Street East, Old Toronto, ON M5A 4S5, Canada",43.649754500540695,-79.3713051
31,Toronto Distillery District,Bombay Palace Haute Indian Cuisine,M5C 2H2,"65-69 Jarvis Street, Old Toronto, ON M5C 2H2, Canada",43.651124600540676,-79.37196619999999
32,Toronto GTA Area,360 Restaurant,M5V 3L9,"290 Bremner Boulevard, Old Toronto, ON M5V 3L9, Canada",43.64258250054078,-79.387064
33,Toronto GTA Area,The pint,M5V 3C7,"Convention centre loading dock, Old Toronto, ON M5V 3C7, Canada",43.64369840054077,-79.38844419999998
34,Toronto GTA Area,The Rec Room,M5V 3L9,"255 Bremner Boulevard, Old Toronto, ON M5V 3L9, Canada",43.6410584005408,-79.38660479999999
35,Toronto GTA Area,Boston Pizza,M5V 3C7,"PATH, Old Toronto, ON M5V 3C7, Canada",43.64422500054076,-79.388488
36,Toronto GTA Area,Steam Whistle Brewing,M5V 3L9,"255 Bremner Boulevard, Old Toronto, ON M5V 3L9, Canada",43.640966800540795,-79.38517019999999
37,Toronto GTA Area,Azure Restaurant & Bar,M5V 2X3,"225 Front Street West, Old Toronto, ON M5V 2X3, Canada",43.64443400054075,-79.38539
38,Toronto GTA Area,SOCO Kitchen + Bar,M5J 3A6,"75 Lower Simcoe Street, Old Toronto, ON M5J 3A6, Canada",43.64267910054078,-79.3838454
39,Toronto GTA Area,Scaddabush,M5V 2X3,"200 Front Street West, Old Toronto, ON M5V 2X3, Canada",43.64485030054076,-79.38541679999999
40,Toronto GTA Area,Joe Badali's Ristorante Italiano & Bar,M5V 3B7,"156 Front Street West, Old Toronto, ON M5V 3B7, Canada",43.643480100540756,-79.3906533
41,Toronto GTA Area,Freshii,M5J 3A6,"120 Bremner Boulevard, Old Toronto, ON M5J 3A6, Canada",43.64318030054076,-79.3833312
42,Toronto GTA Area,Sunset Grill,M5V 3C7,"Wellington Street West, Old Toronto, ON M5V 3C7, Canada",43.64543890054075,-79.38777029999999
43,Toronto GTA Area,Evviva Restaurant,M5J 3A6,"25 Lower Simcoe Street, Old Toronto, ON M5J 3A6, Canada",43.64154110054079,-79.38331489999999
44,Toronto GTA Area,The Shore Club,M5V 3H6,"155 Wellington Street West, Old Toronto, ON M5V 3H6, Canada",43.64554450054074,-79.38614869999999
45,Toronto GTA Area,Buster's Sea Cove,M5J 0A8,"PATH, Old Toronto, ON M5J 0A8, Canada",43.64316390054076,-79.38286159999998
46,Toronto GTA Area,Z-teca Gourmet Burritos,M5J 0A8,"PATH, Old Toronto, ON M5J 0A8, Canada",43.64309380054077,-79.38283489999999
47,Toronto GTA Area,Lucky Clover,M5V 3L9,"17 Lower Simcoe Street, Old Toronto, ON M5V 3L9, Canada",43.64114100054079,-79.38325659999998
48,Toronto GTA Area,TAVERNA mercatto,M5J 3A6,"120 Bremner Boulevard, Old Toronto, ON M5J 3A6, Canada",43.64288740054077,-79.3827034
49,Toronto GTA Area,Harvest Green,M5V 3C7,"200 Wellington Street West, Old Toronto, ON M5V 3C7, Canada",43.64567270054074,-79.38882679999999
50,Toronto GTA Area,St. Louis Bar & Grill,M5V 3V9,"Bremner Boulevard, Old Toronto, ON M5V 3V9, Canada",43.6403904005408,-79.3905411
51,Toronto GTA Area,Canyon Creek,M5J 1T1,"Front Street West, Old Toronto, ON M5J 1T1, Canada",43.64512820054074,-79.3839844
52,Toronto GTA Area,iQ Food Co.,M5J 2Z1,"18 York Street, Old Toronto, ON M5J 2Z1, Canada",43.64295710054078,-79.3823636
53,Toronto GTA Area,259 host ...a fine indian restaurant,M5V 3P6,"259 Wellington Street West, Old Toronto, ON M5V 3P6, Canada",43.644653300540746,-79.3910439
54,Toronto GTA Area,Gonoe Sushi,M5J 1B5,"250 Queens Quay West, Old Toronto, ON M5J 1B5, Canada",43.639170300540826,-79.38585729999998
55,Toronto GTA Area,Swiss Chalet,M5J 1B5,"266 Queens Quay West, Old Toronto, ON M5J 1B5, Canada",43.63911810054081,-79.38611489999998
56,Toronto GTA Area,Spice Thai Cafe,M5J 2N5,"246 Queens Quay West, Old Toronto, ON M5J 2N5, Canada",43.63940080054081,-79.38494980000002
57,Toronto GTA Area,Mi Ne Sushi Japanese Restaurant,M5V 3V9,"3 Navy Wharf Court, Old Toronto, ON M5V 3V9, Canada",43.6404310005408,-79.39100059999998
58,Toronto GTA Area,Jack Astor's,M5J 1T1,"144 Front Street West, Old Toronto, ON M5J 1T1, Canada",43.645199100540744,-79.3837245
59,Toronto GTA Area,Milagro Cantina Mexicana,M5V 1J5,"Mercer Street, Old Toronto, ON M5V 1J5, Canada",43.64571760054074,-79.38966979999998
60,Toronto GTA Area,Mr. Greek,M5V 3V9,"Bremner Boulevard, Old Toronto, ON M5V 3V9, Canada",43.6405388005408,-79.3912491
61,Toronto GTA Area,Kelly's Landing,M5J 1E3,"123 Front Street West, Old Toronto, ON M5J 1E3, Canada",43.64494890054075,-79.38275099999998
62,Toronto GTA Area,Shoeless Joe's,M5J 2N5,"249 Martin Goodman Trail, Old Toronto, ON M5J 2N5, Canada",43.638730900540835,-79.3858117
63,Toronto GTA Area,Aroma Fine Indian Cuisine,M5V 1J5,"287 King Street West, Old Toronto, ON M5V 1J5, Canada",43.646237800540725,-79.3897669
64,Toronto GTA Area,Moxie's,M5J 1T1,"70 University Avenue, Old Toronto, ON M5J 1T1, Canada",43.646373900540745,-79.3847585
65,Toronto GTA Area,Pizza Rustica Restaurant & Bar,M5V 1J6,"37 Blue Jays Way, Old Toronto, ON M5V 1J6, Canada",43.64505810054075,-79.39171060000001
66,Toronto GTA Area,The Daily Plate,M5J 1T1,"70 University Avenue, Old Toronto, ON M5J 1T1, Canada",43.64639840054073,-79.3847523
67,Toronto GTA Area,Minami,M5V 1J5,"225 King Street West, Old Toronto, ON M5V 1J5, Canada",43.64668150054073,-79.38854560000001
68,Toronto GTA Area,Oasis Rooftop Lounge,M5V 1J6,"99 Blue Jays Way, Old Toronto, ON M5V 1J6, Canada",43.645363500540746,-79.39148809999999
69,Toronto GTA Area,Sen5es,M5V 3T4,"318 Wellington Street West, Old Toronto, ON M5V 3T4, Canada",43.64488910054075,-79.3920149
70,Toronto GTA Area,Pancho y Emiliano,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64639690054072,-79.3899333
71,Toronto GTA Area,e11even,M5J 0A3,"PATH, Old Toronto, ON M5J 0A3, Canada",43.64278510054077,-79.3811224
72,Toronto GTA Area,Kit Kat Italian Bar & Grill,M5V 1J5,"297 King Street West, Old Toronto, ON M5V 1J5, Canada",43.646351800540735,-79.3901402
73,Toronto GTA Area,Union Chicken,M5J 2L5,"140 Bay Street, Old Toronto, ON M5J 2L5, Canada",43.64455650054075,-79.3817378
74,Toronto GTA Area,Kinoya,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64640230054074,-79.39004410000001
75,Toronto GTA Area,Hey Lucy's Wood Oven Pizza,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64638310054073,-79.3900915
76,Toronto GTA Area,Dhaba,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64628800054073,-79.3904679
77,Toronto GTA Area,Gabby's,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.646314700540735,-79.3904398
78,Toronto GTA Area,Walhburgers,M5V 1J6,"46 Blue Jays Way, Old Toronto, ON M5V 1J6, Canada",43.645123300540746,-79.39212989999999
79,Toronto GTA Area,Porticello Restaurant,M5V 3A6,"370 Queens Quay West, Old Toronto, ON M5V 3A6, Canada",43.63867380054083,-79.39000359999999
80,Toronto GTA Area,Dentsu,M5V 1J5,"276 King Street West, Old Toronto, ON M5V 1J5, Canada",43.647007700540726,-79.38830869999998
81,Toronto Downtown,Cali Restaurant,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.655040600540616,-79.38648899999998
82,Toronto Downtown,sansotei ramen,M5G 1C7,"179 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65504940054064,-79.3864406
83,Toronto Downtown,Lan Zhou Ramen,M5G 1C7,"185 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65498240054062,-79.3867092
84,Toronto Downtown,Gyugyuya,M5G 1C7,"177 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65506290054062,-79.38637849999999
85,Toronto Downtown,12 o'lunch,M5G 1C7,"177 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65507200054062,-79.3863314
86,Toronto Downtown,Sushi & Bento,M5G 1C7,"187 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.654970100540616,-79.3867692
87,Toronto Downtown,Evergreen Thai Restaurant,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65510240054062,-79.3861992
88,Toronto Downtown,Hong Shing Chinese Restaurant,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65493670054062,-79.38693239999999
89,Toronto Downtown,T&C Restaurant,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65511910054062,-79.3861176
90,Toronto Downtown,Hemispheres Restaurant Bistro,M5G 1R3,"110 Chestnut Street, Old Toronto, ON M5G 1R3, Canada",43.65485630054062,-79.386186
91,Toronto Downtown,Gyubee Japanese Grill,M5G 1C7,"157 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.655147900540626,-79.38581660000001
92,Toronto Downtown,Fugo desserts,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65484770054062,-79.3873536
93,Toronto Downtown,Wah Too Seafood Restaurant,M5G 2H5,"Centre Avenue, Old Toronto, ON M5G 2H5, Canada",43.654600000540626,-79.38714299999998
94,Toronto Downtown,Sushi House,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65480700054063,-79.3875006
95,Toronto Downtown,Kimchi Korea House,M5G 1C7,"149 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.655226600540615,-79.3854985
96,Toronto Downtown,Tsujiri,M5G 1C7,"147 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.655253500540624,-79.3853701
97,Toronto Downtown,New Treasure Restaurant,M5G 1C7,"150 Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.65551510054062,-79.3854787
98,Toronto Downtown,Kyoto House Japanese Restaurant,M5G 1C7,"Dundas Street West, Old Toronto, ON M5G 1C7, Canada",43.655260900540625,-79.38528189999998
99,Toronto Downtown,Yueh Tung Restaurant,M5G 1P5,"126 Elizabeth Street, Old Toronto, ON M5G 1P5, Canada",43.65523000054063,-79.38525800000001
100,Toronto Downtown,Japango,M5G 1P5,"122 Elizabeth Street, Old Toronto, ON M5G 1P5, Canada",43.65509980054063,-79.38521069999999
101,Toronto Downtown,Bapbo Korean Cuisine,M5G 1C3,"Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.655609200540624,-79.3848723
102,Toronto Downtown,Kenzo Ramen,M5G 1C3,"Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.65561650054062,-79.384835
103,Toronto Downtown,The Chestnut Tree,M5G 1R3,"89 Chestnut Street, Old Toronto, ON M5G 1R3, Canada",43.65412940054063,-79.3850984
104,Toronto Downtown,Denny's,M5G 1C3,"Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.655449900540624,-79.3844528
105,Toronto Downtown,The Host,M5G 1G6,"87 Elm Street, Old Toronto, ON M5G 1G6, Canada",43.656649000540604,-79.38639489999998
106,Toronto Downtown,Don Don Izakaya,M5G 1C3,"130 Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.65576360054062,-79.38459459999999
107,Toronto Downtown,Artisan+,M5G 1C3,"Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.655708300540624,-79.3844591
108,Toronto Downtown,Dagu Rice Noodle,M5G 1C3,"Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.655464600540625,-79.3842796
109,Toronto Downtown,Mr Burrito / Baba Geddo,M5G 1X3,"525 University Avenue, Old Toronto, ON M5G 1X3, Canada",43.65634590054061,-79.3882748
110,Toronto Downtown,Freshii,M5G 1G6,"Elm Street, Old Toronto, ON M5G 1G6, Canada",43.65626680054061,-79.38844
111,Toronto Downtown,You Don Ya,M5G 1C3,"Dundas Street West, Old Toronto, ON M5G 1C3, Canada",43.655758500540614,-79.3842405
112,Toronto Downtown,Three Peppers,M5T 1W2,"250 Dundas Street West, Old Toronto, ON M5T 1W2, Canada",43.65472140054062,-79.38950299999999
113,Toronto Downtown,Metagali,M5G 2K4,"69 Elm Street, Old Toronto, ON M5G 2K4, Canada",43.657049000540596,-79.3849075
114,Toronto Downtown,Red Lobster,M5G 2C0,"PATH, Old Toronto, ON M5G 2C0, Canada",43.65616550054062,-79.3836362
115,Toronto Downtown,Rex's,M5B 1R7,"Edward Street, Old Toronto, ON M5B 1R7, Canada",43.656666600540596,-79.38383789999999
116,Toronto Downtown,GB Hand-Pulled Noodles,M5B 1R7,"66 Edward Street, Old Toronto, ON M5B 1R7, Canada",43.65661700054061,-79.3837293
117,Toronto Downtown,Ichimi Sushi,M5B 1R7,"Edward Street, Old Toronto, ON M5B 1R7, Canada",43.65663650054059,-79.3837286
118,Toronto Downtown,Eggsmart,M5G 2K4,"645 Bay Street, Old Toronto, ON M5G 2K4, Canada",43.6572389005406,-79.3841374
119,Toronto Downtown,Gallery Sushi,M5T 1W2,"275 Dundas Street West, Old Toronto, ON M5T 1W2, Canada",43.65425930054063,-79.39057769999998
120,Toronto Downtown,KAKA All You Can Eat,M5G 2K4,"655 Bay Street, Old Toronto, ON M5G 2K4, Canada",43.65751760054061,-79.384124
121,Toronto Downtown,Spring Rolls,M5G 1M5,"40 Dundas Street West, Old Toronto, ON M5G 1M5, Canada",43.65615300054062,-79.3826406
122,Toronto Downtown,Konjiki Ramen (Downtown),M5G 1H1,"41 Elm Street, Old Toronto, ON M5G 1H1, Canada",43.65733260054059,-79.3836135
123,Toronto Downtown,Gallery Sushi,M5T 1W2,"275 Dundas Street West, Old Toronto, ON M5T 1W2, Canada",43.654347300540636,-79.3907732
124,Toronto Downtown,Donatello,M5G 1H1,"37 Elm Street, Old Toronto, ON M5G 1H1, Canada",43.65735780054059,-79.3834704
125,Toronto Downtown,Bread & Bowl,M5T 1N7,"2 Murray Street, Old Toronto, ON M5T 1N7, Canada",43.656236900540605,-79.390698
126,Toronto Downtown,St. Louis Bar & Grill,M5G 2C0,"Atrium on Bay, Old Toronto, ON M5G 2C0, Canada",43.656511000540604,-79.38252799999998
127,Toronto Downtown,Moon Palace,M5G 1M5,"Dundas Street West, Old Toronto, ON M5G 1M5, Canada",43.65618390054061,-79.38229329999999
128,Toronto Downtown,Adega,M5G 1H1,"33 Elm Street, Old Toronto, ON M5G 1H1, Canada",43.657404100540596,-79.383275
129,Toronto Downtown,Manpuku,M5T 2W7,"105 McCaul Street, Old Toronto, ON M5T 2W7, Canada",43.65351190054064,-79.3907401
130,Toronto King West,360 Restaurant,M5V 3L9,"290 Bremner Boulevard, Old Toronto, ON M5V 3L9, Canada",43.64258250054078,-79.387064
131,Toronto King West,The pint,M5V 3C7,"Convention centre loading dock, Old Toronto, ON M5V 3C7, Canada",43.64369840054077,-79.38844419999998
132,Toronto King West,The Rec Room,M5V 3L9,"255 Bremner Boulevard, Old Toronto, ON M5V 3L9, Canada",43.6410584005408,-79.38660479999999
133,Toronto King West,Boston Pizza,M5V 3C7,"PATH, Old Toronto, ON M5V 3C7, Canada",43.64422500054076,-79.388488
134,Toronto King West,Steam Whistle Brewing,M5V 3L9,"255 Bremner Boulevard, Old Toronto, ON M5V 3L9, Canada",43.640966800540795,-79.38517019999999
135,Toronto King West,Azure Restaurant & Bar,M5V 2X3,"225 Front Street West, Old Toronto, ON M5V 2X3, Canada",43.64443400054075,-79.38539
136,Toronto King West,SOCO Kitchen + Bar,M5J 3A6,"75 Lower Simcoe Street, Old Toronto, ON M5J 3A6, Canada",43.64267910054078,-79.3838454
137,Toronto King West,Scaddabush,M5V 2X3,"200 Front Street West, Old Toronto, ON M5V 2X3, Canada",43.64485030054076,-79.38541679999999
138,Toronto King West,Joe Badali's Ristorante Italiano & Bar,M5V 3B7,"156 Front Street West, Old Toronto, ON M5V 3B7, Canada",43.643480100540756,-79.3906533
139,Toronto King West,Freshii,M5J 3A6,"120 Bremner Boulevard, Old Toronto, ON M5J 3A6, Canada",43.64318030054076,-79.3833312
140,Toronto King West,Evviva Restaurant,M5J 3A6,"25 Lower Simcoe Street, Old Toronto, ON M5J 3A6, Canada",43.64154110054079,-79.38331489999999
141,Toronto King West,Sunset Grill,M5V 3C7,"Wellington Street West, Old Toronto, ON M5V 3C7, Canada",43.64543890054075,-79.38777029999999
142,Toronto King West,The Shore Club,M5V 3H6,"155 Wellington Street West, Old Toronto, ON M5V 3H6, Canada",43.64554450054074,-79.38614869999999
143,Toronto King West,Buster's Sea Cove,M5J 0A8,"PATH, Old Toronto, ON M5J 0A8, Canada",43.64316390054076,-79.38286159999998
144,Toronto King West,Lucky Clover,M5V 3L9,"17 Lower Simcoe Street, Old Toronto, ON M5V 3L9, Canada",43.64114100054079,-79.38325659999998
145,Toronto King West,Z-teca Gourmet Burritos,M5J 0A8,"PATH, Old Toronto, ON M5J 0A8, Canada",43.64309380054077,-79.38283489999999
146,Toronto King West,TAVERNA mercatto,M5J 3A6,"120 Bremner Boulevard, Old Toronto, ON M5J 3A6, Canada",43.64288740054077,-79.3827034
147,Toronto King West,St. Louis Bar & Grill,M5V 3V9,"Bremner Boulevard, Old Toronto, ON M5V 3V9, Canada",43.6403904005408,-79.3905411
148,Toronto King West,Harvest Green,M5V 3C7,"200 Wellington Street West, Old Toronto, ON M5V 3C7, Canada",43.64567270054074,-79.38882679999999
149,Toronto King West,Canyon Creek,M5J 1T1,"Front Street West, Old Toronto, ON M5J 1T1, Canada",43.64512820054074,-79.3839844
150,Toronto King West,iQ Food Co.,M5J 2Z1,"18 York Street, Old Toronto, ON M5J 2Z1, Canada",43.64295710054078,-79.3823636
151,Toronto King West,Gonoe Sushi,M5J 1B5,"250 Queens Quay West, Old Toronto, ON M5J 1B5, Canada",43.639170300540826,-79.38585729999998
152,Toronto King West,Spice Thai Cafe,M5J 2N5,"246 Queens Quay West, Old Toronto, ON M5J 2N5, Canada",43.63940080054081,-79.38494980000002
153,Toronto King West,Swiss Chalet,M5J 1B5,"266 Queens Quay West, Old Toronto, ON M5J 1B5, Canada",43.63911810054081,-79.38611489999998
154,Toronto King West,259 host ...a fine indian restaurant,M5V 3P6,"259 Wellington Street West, Old Toronto, ON M5V 3P6, Canada",43.644653300540746,-79.3910439
155,Toronto King West,Jack Astor's,M5J 1T1,"144 Front Street West, Old Toronto, ON M5J 1T1, Canada",43.645199100540744,-79.3837245
156,Toronto King West,Mi Ne Sushi Japanese Restaurant,M5V 3V9,"3 Navy Wharf Court, Old Toronto, ON M5V 3V9, Canada",43.6404310005408,-79.39100059999998
157,Toronto King West,Mr. Greek,M5V 3V9,"Bremner Boulevard, Old Toronto, ON M5V 3V9, Canada",43.6405388005408,-79.3912491
158,Toronto King West,Milagro Cantina Mexicana,M5V 1J5,"Mercer Street, Old Toronto, ON M5V 1J5, Canada",43.64571760054074,-79.38966979999998
159,Toronto King West,Kelly's Landing,M5J 1E3,"123 Front Street West, Old Toronto, ON M5J 1E3, Canada",43.64494890054075,-79.38275099999998
160,Toronto King West,Shoeless Joe's,M5J 2N5,"249 Martin Goodman Trail, Old Toronto, ON M5J 2N5, Canada",43.638730900540835,-79.3858117
161,Toronto King West,Moxie's,M5J 1T1,"70 University Avenue, Old Toronto, ON M5J 1T1, Canada",43.646373900540745,-79.3847585
162,Toronto King West,Aroma Fine Indian Cuisine,M5V 1J5,"287 King Street West, Old Toronto, ON M5V 1J5, Canada",43.646237800540725,-79.3897669
163,Toronto King West,The Daily Plate,M5J 1T1,"70 University Avenue, Old Toronto, ON M5J 1T1, Canada",43.64639840054073,-79.3847523
164,Toronto King West,Pizza Rustica Restaurant & Bar,M5V 1J6,"37 Blue Jays Way, Old Toronto, ON M5V 1J6, Canada",43.64505810054075,-79.39171060000001
165,Toronto King West,Minami,M5V 1J5,"225 King Street West, Old Toronto, ON M5V 1J5, Canada",43.64668150054073,-79.38854560000001
166,Toronto King West,Oasis Rooftop Lounge,M5V 1J6,"99 Blue Jays Way, Old Toronto, ON M5V 1J6, Canada",43.645363500540746,-79.39148809999999
167,Toronto King West,Sen5es,M5V 3T4,"318 Wellington Street West, Old Toronto, ON M5V 3T4, Canada",43.64488910054075,-79.3920149
168,Toronto King West,e11even,M5J 0A3,"PATH, Old Toronto, ON M5J 0A3, Canada",43.64278510054077,-79.3811224
169,Toronto King West,Union Chicken,M5J 2L5,"140 Bay Street, Old Toronto, ON M5J 2L5, Canada",43.64455650054075,-79.3817378
170,Toronto King West,Pancho y Emiliano,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64639690054072,-79.3899333
171,Toronto King West,Kit Kat Italian Bar & Grill,M5V 1J5,"297 King Street West, Old Toronto, ON M5V 1J5, Canada",43.646351800540735,-79.3901402
172,Toronto King West,Kinoya,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64640230054074,-79.39004410000001
173,Toronto King West,Hey Lucy's Wood Oven Pizza,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64638310054073,-79.3900915
174,Toronto King West,Porticello Restaurant,M5V 3A6,"370 Queens Quay West, Old Toronto, ON M5V 3A6, Canada",43.63867380054083,-79.39000359999999
175,Toronto King West,Dhaba,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.64628800054073,-79.3904679
176,Toronto King West,Gabby's,M5V 1J5,"King Street West, Old Toronto, ON M5V 1J5, Canada",43.646314700540735,-79.3904398
177,Toronto King West,Walhburgers,M5V 1J6,"46 Blue Jays Way, Old Toronto, ON M5V 1J6, Canada",43.645123300540746,-79.39212989999999
178,Toronto King West,Dentsu,M5V 1J5,"276 King Street West, Old Toronto, ON M5V 1J5, Canada",43.647007700540726,-79.38830869999998
179,Queen West,Mean Bao,M6J 1E6,"167 Bathurst Street, Old Toronto, ON M6J 1E6, Canada",43.64678970054072,-79.4035926
180,Queen West,Frisaca,M6J 1E6,"592 Queen Street West, Old Toronto, ON M6J 1E6, Canada",43.647250700540724,-79.40434629999999
181,Queen West,Pat's Homestyle Jamaican Restaurant,M5V 2B5,"558 Queen Street West, Old Toronto, ON M5V 2B5, Canada",43.647486200540726,-79.4031939
182,Queen West,Alpha's Shawarma,M6J 1E6,"598 Queen Street West, Old Toronto, ON M6J 1E6, Canada",43.64720840054071,-79.40453380000001
183,Queen West,Roti Mahal,M5V 2B5,"554 Queen Street West, Old Toronto, ON M5V 2B5, Canada",43.64750540054073,-79.4030911
184,Queen West,Kenzo Ramen,M6J 1E6,"671 Queen Street West, Old Toronto, ON M6J 1E6, Canada",43.64694050054073,-79.40469859999999
